id,created_at,text
1070314629732163586,2018-12-05 13:51:07,"b'.....considered to be the worst and most dangerous, addictive and deadly substance of them all. Last year over 77,0\xe2\x80\xa6 https://t.co/WBWXo8q5VB'"
1070312880095068160,2018-12-05 13:44:10,b'One of the very exciting things to come out of my meeting with President Xi of China is his promise to me to crimin\xe2\x80\xa6 https://t.co/pouGyRq2B3'
1070306739092889601,2018-12-05 13:19:46,"b'Very strong signals being sent by China once they returned home from their long trip, including stops, from Argenti\xe2\x80\xa6 https://t.co/mjFIsG8tmV'"
1070299196538961920,2018-12-05 12:49:48,b'.....China had agreed to start \xe2\x80\x9cimmediately\xe2\x80\x9d buying U.S. products.\xe2\x80\x9d @business'
1070298360572198913,2018-12-05 12:46:28,b'\xe2\x80\x9cChina officially echoed President Donald Trump\xe2\x80\x99s optimism over bilateral trade talks. Chinese officials have begun\xe2\x80\xa6 https://t.co/fO6YArC2ah'
1070110927788347393,2018-12-05 00:21:41,b'.....China does not want Tariffs!'
1070110615627333632,2018-12-05 00:20:27,"b'We are either going to have a REAL DEAL with China, or no deal at all - at which point we will be charging major Ta\xe2\x80\xa6 https://t.co/JIqNBYOxT8'"
1070089367224549377,2018-12-04 22:56:01,b'....in the world. I want clean air and clean water and have been making great strides in improving America\xe2\x80\x99s enviro\xe2\x80\xa6 https://t.co/iQ4aLjD0Kb'
1070089365995642881,2018-12-04 22:56:00,b'I am glad that my friend @EmmanuelMacron and the protestors in Paris have agreed with the conclusion I reached two\xe2\x80\xa6 https://t.co/YcxKsnDGwt'
1069990743274676224,2018-12-04 16:24:07,b'RT @charliekirk11: There are riots in socialist France because of radical leftist fuel taxes\n\nMedia barely mentioning this\n\nAmerica is boom\xe2\x80\xa6'
1069990310175014914,2018-12-04 16:22:24,b'Could somebody please explain to the Democrats (we need their votes) that our Country losses 250 Billion Dollars a\xe2\x80\xa6 https://t.co/Z8nKReskdg'
1069972093301862406,2018-12-04 15:10:00,"b'.....But if a fair deal is able to be made with China, one that does all of the many things we know must be finally\xe2\x80\xa6 https://t.co/VMfAQjVXmz'"
1069970500535902208,2018-12-04 15:03:41,"b'....I am a Tariff Man. When people or countries come in to raid the great wealth of our Nation, I want them to pay\xe2\x80\xa6 https://t.co/fj8Bwjgywu'"
1069968462724980736,2018-12-04 14:55:35,"b'......on seeing whether or not a REAL deal with China is actually possible. If it is, we will get it done. China is\xe2\x80\xa6 https://t.co/GVhX7U9ZQF'"
1069962093301022720,2018-12-04 14:30:16,"b'The negotiations with China have already started. Unless extended, they will end 90 days from the date of our wonde\xe2\x80\xa6 https://t.co/iYphE2px2L'"
1069960017204469760,2018-12-04 14:22:01,b'Looking forward to being with the wonderful Bush family at Blair House today. The former First Lady will be coming\xe2\x80\xa6 https://t.co/coawARfXIe'
1069778641603780608,2018-12-04 02:21:18,b'#Remembering41 https://t.co/9xbFYlZzNs'
1069678284580012032,2018-12-03 19:42:31,b'Congratulations to newly inaugurated Mexican President @lopezobrador_. He had a tremendous political victory with t\xe2\x80\xa6 https://t.co/UVwbELyLsW'
1069631759573225474,2018-12-03 16:37:38,b'Looking forward to being with the Bush Family to pay my respects to President George H.W. Bush.'
